Year,State,Population,Total Religous,Christianity,Islam,Hinduism,Buddhism,Noreligion,Syncretism,Judaism,Sikhism,Code,Continent,GDP per Capita
1960,Afghanistan,10775000,10630726,4285,10537389,62453,2807,1187,0,389,2235,AFG,Asia,59.7732337032148
1960,Australia,10275000,10270476,9747250,21254,2458,10886,411000,9451,52762,1975,AUS,Oceania,1810.61923013403
1960,Austria,7048000,7010360,6733738,0,0,0,266009,0,10613,0,AUT,Europe,935.460426850415
1960,Belgium,9153000,9152937,8819423,0,0,0,301830,0,31684,0,BEL,Europe,1273.69165910289
1960,Benin,2237000,2234708,338401,279000,0,0,113,0,0,0,BEN,Africa,93.0227002677683
1960,Bolivia,3351000,3166695,3166695,0,0,0,0,0,0,0,BOL,South America,102.237722413607
1960,Burkina Faso,4123000,4117363,139000,948290,0,0,184,0,0,0,BFA,Africa,68.4247344006247
1960,Cambodia,5433000,5432889,112440,155909,30,4723710,170157,61613,0,0,KHM,Asia,111.342440812007
1960,Cameroon,5296000,5274983,1796004,600000,0,0,3561,0,0,0,CMR,Africa,118.643145152375
1960,Canada,17909000,17548194,16170219,0,0,781211,0,0,254366,0,CAN,North America,2259.29428549881
1960,Central African Republic,1297000,1274041,569890,51880,0,0,747,0,0,0,CAF,Africa,74.6873469698836
1960,Chad,3064000,3057578,380779,1750000,0,0,587,0,0,0,TCD,Africa,104.471718929774
1960,Chile,7614000,7478800,7478800,0,0,0,0,0,0,0,CHL,South America,505.349325487754
1960,China,657491968,657218780,3979000,11322420,11559,53500638,249846947,305005000,923,6675,CHN,Asia,89.5205415103584
1960,Colombia,15416000,15028785,15020452,0,0,0,0,0,8333,0,COL,South America,251.041522886697
1960,Costa Rica,1254000,1198000,1198000,0,0,0,0,0,0,0,CRI,North America,381.363681787435
1960,Dominican Republic,3231000,3149465,3149465,0,0,0,0,0,0,0,DOM,North America,204.114871432466
1960,Ecuador,4439000,4106886,4106886,0,0,0,0,0,0,0,ECU,South America,455.462388766676
1960,Finland,4430000,4372252,4169858,781,0,0,198679,0,1483,0,FIN,Europe,1179.35301099994
1960,France,45684000,44534081,39808773,274000,12506,15001,3898626,19489,473645,0,FRA,Europe,1334.68951190446
1960,Gabon,486000,479219,286740,2365,0,0,0,0,0,0,GAB,Africa,282.417179474671
1960,Ghana,6777000,6776196,2981878,810240,0,0,0,0,0,0,GHA,Africa,183.449589798303
1960,Greece,8327000,8326195,8204821,108000,0,0,7574,0,5800,0,GRC,Europe,520.322744310383
1960,Guatemala,3964000,3807000,3807000,0,0,0,0,0,0,0,GTM,North America,252.756171165062
1960,Haiti,3804000,5155000,3253000,0,0,0,0,1902000,0,0,HTI,North America,70.661084558795
1960,Honduras,1943000,1889000,1889000,0,0,0,0,0,0,0,HND,North America,164.64439949064
1960,Iceland,176000,175980,173900,0,0,0,2080,0,0,0,ISL,Europe,1414.98226940621
1960,India,432703008,431718307,11728799,46939000,341835376,3206000,1768620,46823,20851,7845000,IND,Asia,82.1886027387829
1960,Ireland,2832000,2830806,2816080,0,0,0,11328,0,3398,0,IRL,Europe,685.61471237976
1960,Israel,2117000,2085156,63057,209500,0,0,0,0,1812599,0,ISR,Asia,1229.1747476372
1960,Italy,50200000,50195781,46481754,24234,0,1567,3645325,0,39002,0,ITA,Europe,804.492623346178
1960,Jamaica,1613148,1602437,1327363,0,1181,0,273293,0,600,0,JAM,North America,429.254146077319
1960,Japan,93216000,145918694,3000000,0,4742,65251200,6276700,20000,499,0,JPN,Asia,475.319075592173
1960,Luxembourg,314000,313347,311714,299,0,0,664,0,643,0,LUX,Europe,2242.0158166161
1960,Madagascar,5367000,5359519,2563326,84574,690,1608,2835,3338,77,0,MDG,Africa,131.993165442526
1960,Malaysia,9786000,9780869,400463,3810540,566000,500000,17147,4000000,0,30211,MYS,Asia,234.938897437435
1960,Mexico,36322000,34564713,34271000,0,0,0,192963,0,100750,0,MEX,North America,345.230540798612
1960,Morocco,11637000,11590110,349110,11081000,0,0,0,0,160000,0,MAR,Africa,164.80083236727
1960,Nepal,9263000,9251652,3536,279000,6854620,1018930,19978,0,0,0,NPL,Asia,50.3049377208139
1960,Netherlands,11480000,11459519,10476421,35211,0,2266,919329,10080,14503,0,NLD,Europe,1068.78458723735
1960,New Zealand,2372000,2351774,2264441,649,2398,1178,63755,5985,3443,299,NZL,Oceania,2312.94999239859
1960,Nicaragua,1411000,1374000,1374000,0,0,0,0,0,0,0,NIC,North America,126.248168025092
1960,Niger,3028000,3020384,10000,2180160,0,0,1911,0,0,0,NER,Africa,132.651770984281
1960,Nigeria,42305000,41954251,16521997,15200800,0,340,69960,0,0,0,NGA,Africa,92.9604656019465
1960,Norway,3581000,3537755,3426585,2198,0,0,107430,0,841,0,NOR,Europe,1441.75566002633
1960,Pakistan,98737000,98727125,1350422,90308040,6551590,310000,14874,1679,370,51792,PAK,Asia,83.337945930404
1960,Panama,1126000,1113440,1113440,0,0,0,0,0,0,0,PAN,North America,474.090670385391
1960,Peru,9931000,9761000,9561000,0,0,0,0,0,0,0,PER,South America,253.264921335577
1960,Philippines,27088000,27068829,25233478,1083520,517,36912,63947,58132,424,4239,PHL,Asia,286.104330092238
1960,Portugal,8943000,8888829,8739903,0,0,0,147747,0,1179,0,PRT,Europe,360.499298506858
1960,Senegal,3578000,3492961,148162,2611939,0,248,79760,3,0,0,SEN,Africa,312.99296284623
1960,Somalia,3785000,3784148,11219,3765000,682,0,6386,0,0,0,SOM,Africa,65.4797161127203
1960,South Africa,17122000,17067861,12518374,206000,360000,1220,87350,1305,116000,2971,ZAF,Africa,443.009919687117
1960,Spain,30455000,30452559,30029122,10378,0,0,400594,645,9822,0,ESP,Europe,396.392253337614
1960,Sri Lanka,9889000,9873926,884000,724000,1780020,6427850,32789,249,0,18980,LKA,Asia,142.779621883716
1960,Sudan,11165000,11144000,344000,8000000,0,0,0,0,0,0,SDN,Africa,125.859838991827
1960,Sweden,7480000,7449927,7211000,0,0,0,224400,0,14527,0,SWE,Europe,2114.00297269192
1960,Switzerland,5362000,5359916,5308380,2703,0,0,28849,0,19984,0,CHE,Europe,1787.36034770201
1960,Thailand,26634000,26620456,263842,1025000,49522,24503000,57108,461000,35,7785,THA,Asia,100.76747498819
1960,Togo,1444000,1443396,354998,122000,0,0,66,0,0,0,TGO,Africa,76.6386966178104
1960,Trinidad and Tobago,900000,837957,574696,49736,190403,0,23122,0,0,0,TTO,North America,631.706584701324
1960,Turkey,27506000,27495259,221480,27251539,0,0,277,0,21963,0,TUR,Asia,509.423963409495
1960,United Kingdom,52372000,52280166,47520102,417069,129867,15494,3650499,7761,424965,104871,GBR,Europe,1397.5948032844
1960,United States of America,180671000,179294703,150234347,0,0,2012131,21548225,0,5500000,0,USA,North America,3007.12344537862
1960,Uruguay,2538000,1986800,1986800,0,0,0,0,0,0,0,URY,South America,489.350724954753
1965,Afghanistan,12071000,11944448,6153,11825320,88171,3113,1506,0,308,2255,AFG,Asia,101.108325163758
1965,Algeria,11923000,11279838,484138,10770700,0,0,0,0,25000,0,DZA,Africa,249.883585607009
1965,Argentina,22283000,21936446,21420596,2500,0,5000,55000,0,437500,0,ARG,South America,1279.11377848123
1965,Australia,11388000,11383711,10696019,22884,3686,11340,569400,7183,57086,2464,AUS,Oceania,2281.09879668523
1965,Austria,7271000,7208597,6907450,0,0,0,290840,0,10307,0,AUT,Europe,1374.53213986075
1965,Belgium,9464000,9463787,9011675,0,0,0,417112,0,35000,0,BEL,Europe,1835.59476553194
